review_title,review_text,review_star,review_date,page
Excellent phone,"Excellent phone, upgraded from iPhone se 1st generation. I mainly bought this phone for camera and well I’m pleased with this. Excellent camera, and picture quality, good battery.",5.0 out of 5 stars,Reviewed in the United Kingdom on 31 October 2021,3
Good choice,I like the battery life and processor speed and all round easy use,5.0 out of 5 stars,Reviewed in the United Kingdom on 18 November 2021,3
A new upto date new model,"A new upto date new model, without the button that was on my iPhone 7, but getting used to it now, it’s so simple, it’s nice and slim and operates faster than the 7.",5.0 out of 5 stars,Reviewed in the United Kingdom on 20 November 2021,3
Great phone but please. Get a screen protector,"Okay I’ve had the phone for a few months now but there is this one scratch on the screen that has come from nowhere and even with apples “scratch resistant screen” it makes no difference. My iPhone 6 (phone before this 13) had scratches on the back but nothing on the screen. It’s really sad and you can’t see it but you know it’s there , then you look for it. Fine it. Then you are sad again",3.0 out of 5 stars,Reviewed in the United Kingdom on 10 December 2021,3
Excellent Phone Fantastic Colour,ive owned many iPhones in the past and this has to be one of the best ones ive owned.the battery life is amazing.the photo quality is great.plus 5G is a bonus for me and its faster than my broadband at home.I don't miss the power brick as I wireless charge my phone anyway.but I have to say so far I can't fault it in anyway and id highly recommend it if you can afford it to go for the 256gb model.and deffo take out apple care as it offers accidental damage on the device as well as normal coverage.,5.0 out of 5 stars,Reviewed in the United Kingdom on 12 March 2022,3
"Beautiful Phone , quality over quality","Great upgrade this time from iPhone 8 , amazing battery life , camera almost like 13 pro , sweet look , very quality product",5.0 out of 5 stars,Reviewed in the United Kingdom on 13 November 2021,3
5 star <U+2B50><U+FE0F>,"It’s an iPhone, I like it, was a very good limited time deal, also I work for Amazon so I’ve got another 10% off, got it for a very good price.Works as an iPhone would, brilliantly, what can I say, perfect!",5.0 out of 5 stars,Reviewed in the United Kingdom on 13 March 2022,3
Simply the best,Tried android. Tried apple mini. Nope thos is all you need. Face recognition never fails. Decent size screen without being overly large and heavy. Lovely dark dark black blue colour too. Almost like midnight! 10/10,5.0 out of 5 stars,Reviewed in the United Kingdom on 30 January 2022,3
Perfect,"Fast delivery , quicker than what the apple store would have delivered , secure delivery excellent product.",5.0 out of 5 stars,Reviewed in the United Kingdom on 11 December 2021,3
Very expensive but good quality,"Bought it for my wife who loves the phone and says it is so much better than her old iPhone6. Bigger screen, better camera, and much improved battery life. But overly expensive.",4.0 out of 5 stars,Reviewed in the United Kingdom on 9 February 2022,3
Phone,Great phone,5.0 out of 5 stars,Reviewed in the United Kingdom on 13 February 2022,6
Fantastic phone,Upgraded from my old Samsung S8. Definitely a must for those with same old phones.,5.0 out of 5 stars,Reviewed in the United Kingdom on 16 February 2022,6
It’s a iPhone,It’s an iPhone,5.0 out of 5 stars,Reviewed in the United Kingdom on 12 January 2022,6
Sharp screen great picture quality,Very good phone so far I’m impressed time will tell bit expensive though easy to use,5.0 out of 5 stars,Reviewed in the United Kingdom on 29 December 2021,6
From android to Iphone 13!,"Good camera, battery life and sleek interface. I can't complain",5.0 out of 5 stars,Reviewed in the United Kingdom on 26 February 2022,6
Amazing iPhone 13,"Look nice, really quick, charges fast",5.0 out of 5 stars,Reviewed in the United Kingdom on 28 October 2021,6
Brilliant,The pink colour is just AWESOME!,5.0 out of 5 stars,Reviewed in the United Kingdom on 3 November 2021,6
Perfect condition very clean and amazing,Good value for money .very satisfied from my purchase .,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 January 2022,6
I love it,No need say anythingapple is apple,5.0 out of 5 stars,Reviewed in the United Kingdom on 31 January 2022,6
Review,Amazing phone very fast camera quality is mint,5.0 out of 5 stars,Reviewed in the United Kingdom on 14 February 2022,6
Is the product genuine ?,Is the the product directly from apple and is it a 100 percent Apple screen ?,4.0 out of 5 stars,Reviewed in the United Kingdom on 4 January 2022,8
"My first footsteps with an iPhone,","Image and state of the art gadgets, phones etc have not been a priority in using technology, If it ain’t broken don’t fix it. Well my old phone was broken the screen was turning into a mosaic with shards of glass desperately trying to sneak through the screen cover. It was tired and worn out, so, tine for a new model. I have a sim only contract as I prefer to own my phone & upgrade it if & when I like. Time to venture into the land of Apple iPhones, I have had an iPad for a few years, love the speed of it compared to Android. The iPhone 13 has the same speed & qualities and I am really impressed with it. It is the only phone we use, no landline. The apps are quick to open, the camera is much better quality and the aesthetics are clean and streamlined. It has a bigger screen size than my old phone all the better for us oldies and having arthritis in my hands it is easier to grip the larger size. Transferring files, settings, apps etc was a doddle. Storage capacity much bigger than I am used to. All in all I am delighted with my new phone and hope to be using it for a long while to cone,",5.0 out of 5 stars,Reviewed in the United Kingdom on 6 March 2022,8
Is an iPhone,Purchased as an upgrade for my wife who swears by apple. I have a much cheaper alternative but when compared against each other the iPhone comes out on top in every department. They are expensive - I personally wouldn't spend that much on a phone for myself but for my wife its worth double to stop the nagging for one. The memory and battery life is much better than her last iPhone so she now has all her apps running -(whatever they are - a phone to me is to call or text people) - apparently I'm behind the times The camera is excellent as is the sound quality - this is tje best one yet.,5.0 out of 5 stars,Reviewed in the United Kingdom on 8 February 2022,8
It's Apple... that says all...,"What can be said that was not said before? A superb product. Fast, top quality, beautiful design... I am very happy with my purchase. Despite considered to move to some Android based phone, after careful thoughts decided to stay with the high-end of mobile telephones...",5.0 out of 5 stars,Reviewed in the United Kingdom on 28 January 2022,8
"Unsealed, Marked Not Happy","The phone arrived in a cheap box, looking very chinesey, I then noticed the box was not sealed in any way, I opened the box, the phone was the wrong way round, it's got smudges all over it. REALLY SUSPECT",1.0 out of 5 stars,Reviewed in the United Kingdom on 17 December 2021,8
I Hate Apple,Bought for Daughter she loves it!! Problem being I took her old XR and I Hate it.Don’t understand it it’s so complicated I hate Apple,4.0 out of 5 stars,Reviewed in the United Kingdom on 19 January 2022,8
iPhone 13 120gb,Purchased this for my daughter just before Christmas . Arrived very quickly and she is over the moon . Fantastic service,5.0 out of 5 stars,Reviewed in the United Kingdom on 27 December 2021,8
My 2nd iPhone!,"This not my 1st iPhone my last iPhone was 6s before I switch to android “Samsung” in 2018.Now I switch back to iPhone as I missed iOS in past 3 years.Last time I had 64gb on the iPhone 6s that was not good for me as not much GB so, this time I those 512gb and it is my biggest GB I ever had on my iPhone 13!I love the color pink I never chose pink color before last time I had Space Grey on iPhone 6s I am guy so, why not. Pink color look amazing!The iOS software change in passed 3 year since iOS 11. iOS 15 is really good software I love it.The camera look fab can’t wait to record it for my YouTube Channel!For me I missed iPhone in passed 3 year.Overall Apple did the great jobs. <U+0001F44D>Can’t wait my next iPhone in 2023!",5.0 out of 5 stars,Reviewed in the United Kingdom on 7 October 2021,8
Minor upgrade,"Apart from the marginal improvement in picture quality, I can’t see any big upgrade from the 12. Considering the money they cost, I was expecting much more. Battery life is good at the moment but considering apples track record with them deteriorating after a few years, it remains to be seen.",4.0 out of 5 stars,Reviewed in the United Kingdom on 23 March 2022,8
the phone wouldn't set up,The phone wouldn't set up or recognise my Apple ID so had to be returned.I bought insurance with it which is a mistake that requires a different conversation direct with Apple.as masssive pain in the A**S all round,1.0 out of 5 stars,Reviewed in the United Kingdom on 30 March 2022,8
A significant improvement over the 12.,"Before we start, apologies for the long review, but I hope it's useful!So another year and another iPhone has launched. Now, I have to admit I didn't intend to buy this year, having had the 12 until now. However nearly having my phone stolen and dropped by the errant thief as he stumbled away, it needed significant repair.....that my insurance company completed very badly. It was then lost in transit on the way back to me after the second repair. So a new phone was in order.Many of you, who are in the market for a new phone, have probably done some research, watched a few videos or maybe are just mulling over the final decision, so I'll give you a few key areas that I feel are worth the outlay.Aesthetics:Very little has changed in this regard since the 12, but I feel that is no bad thing. Love or hate the design, it's bold, sharp and well proportioned. One thing that may interest you is that the hue of the red and black devices has changed. The black is far deeper and richer and looks much better than last years. The red is also a lot more saturated and deep. A nice improvement.Accessories:Contrary to a lot of websites, the vast majority of 12 cases don't fit. This is because the camera bump is now dimensionally different and has slightly moved position on the back of the device. The device is also a few mm thicker which makes a difference in a form fitting case. Just a thing to be aware of, in case the similarities of the last 2 phones make you think they would be cross compatible.Battery life:Now, Apple has said that the 13 offers 2.5 hours additional battery life over the 12. While I can't give a scientific response to this, I can say that where my previous phone (even when new) would have the low battery warning appear, the 13 still normally has another 10-15% juice left in the tank. This is very helpful to me, as I travel a lot for work, and having to constantly find a charger or remembering to charge a powerbank is often frustrating.Storage:I'm so happy that Apple have now decided that the base storage needs to be increased, as the 12's base of 64GB was stingy to say the least. I always get the 128GB, which is now the base model with the 13, this is adequate for my needs. For reference, I currently have 82 apps, 590 downloaded songs from Spotify & 104 pictures in my 128GB 13, and I still have 98GB free. Even if it was lower, I use an iPad & Mac, so I have iCloud for a lot of storage outside of what's on my phone, so I never really run out. Your mileage will vary, but I don't need more than that, so win win for me.Screen quality:The 13 has a considerably higher peak screen brightness than the proceeding models. I used my 12 in the middle east in the burning sun while working away and found the screen was plenty bright enough, so I can't comment on the improvement. BUT, my father has cataracts which do impede his sight, and he finds the 13 screen easier to use by increasing the brightness, so I guess there is a silver cloud to those with sight loss or other occular impairment!Performance:One thing Apple always does right. My iPhone X was still buttery smooth after 2.5 years of heavy use, and my 12 was until it's impending doom. The 13 feels fast, fluid and up to speed and I have no doubt this will continue over time.Camera:The 13 now has a new cinematic mode for video, a wider lens on its ultra wide camera & it's night mode is improved by its sensor being able to use even more light than last years 12. It now also has optical image stabilisation on the sensor rather than the lens, which helps stability. While I can't say exactly how much better it is in use, I can tell you that the photos I have taken so far are crisp, punchy and perfectly useable. I have no complaints there!Conclusion....Overall, despite my intention to not buy in this year, I'm glad I did. The changes are evolutionarily rather than revolutionary, but they have taken a very good phone to a higher level. The biggest plus for me is the improved battery life, which can make all the difference on a day to day level. If you are in the market for a new phone and like the range, I'd not hesitate in recommending it!I hope this review was useful to you, if so please hit the helpful button and let me know, as I do them to help others find the best products for them. Stay well and enjoy!",5.0 out of 5 stars,Reviewed in the United Kingdom on 28 October 2021,1
Features going backwards,"I was forced to upgrade from an ageing iPhone 6s because the battery life had completely died, which I am convinced was almost entirely a function of software. Strange how after every update the battery performance deteriorated.The battery life is good. Pretty much everything else is a big step backwards. There is no fingerprint recognition anymore. It's Face ID. Doesn't work with a facemask which we have to wear these days. Doesn't work with my banking app.They got rid of the home button and have otherwise messed around with the OS. I struggle to access basic features now. You need to flick up or down at just the right place in just the right way rather than just pressing a button.They no longer bother to include a charger, so you need to buy that separately. They got rid of the headphone socket. So you can buy bulky bluetooth earbuds with limited battery life, or pay extra for an adapter, which is what I did.I bought an Apple silicone case. It slightly obstructs the lightning socket to the extent my charger cable won't fit. So every day I need to remove the case to charge it and then put it back on in the morning.On paper the specs are doubtless far superior to my 6s. But in practical terms, before they nixed my battery, the 6s did everything I needed with no fuss. This 13 has lost identifiable features: home button, headphone socket, charger, fingerprint scanner - with no compensation.How long before Apple decides I need to buy another phone and forces an OS update on me that nerfs my battery life?",2.0 out of 5 stars,Reviewed in the United Kingdom on 25 October 2021,1
"Looks and performs perfectly, No issues as of now!","Upgraded from an ( iPhone 8 plus)This New iPhone 13 (product red) Looks and feels great!-(CAMERA) The camera quality is outstanding, And the ultra wide lense is an extra bonus when needing to take them Wide angle shots. There is a load of other features on the camera that have yet to be tested.-(Display) - The size is perfect being 6.1-inch, Making gaming on my phone a possibility if i ever want to do that, It Also makes video viewing perfect, And with the display being almost the entire screen, it Keeps me focused on the video/application, The display is very responsive and just feels much cleaner that my previous 8+- No faults, I have yet to find an issue with this iPhone 13, If i do find myself finding issues with this phone, I'll be sure to edit this review.",5.0 out of 5 stars,Reviewed in the United Kingdom on 2 October 2021,1
Phone 13 is a disguised iPhone 12S.,"Ended up returning it - I’ve literally nothing more to say other than it's a small upgrade over iPhone 11, and an even smaller one over iPhone 12.Not worth the money at all. Apple need to up their game.",1.0 out of 5 stars,Reviewed in the United Kingdom on 22 October 2021,1
Great phone with fantastic features.,Fast response even though it has a 60Hz screen. Good picture and sound quality. Upgraded from a 11 pro max and can see the difference. I prefer the size and weight of this compared the pro max.,5.0 out of 5 stars,Reviewed in the United Kingdom on 2 October 2021,1
Touchscreen issue forced return,"I decided to make the switch from Android as I was tempted by the excellent camera and premium brand/design.I was a little sad about forfeiting fingerprint ID, 120hz screen & excellent battery life but I need a great camera for work so on balance I went for it.I was disappointed I did. I can't believe a premium phone like this, costing double what my Android did, shipped with a faulty touch screen! It was as if I wasn't touching/tapping it and it was so bad I was intermittently unable to use the phone at all. I literally had to wait, put it down and come back to it, until it was willing to respond. I was okay with the downgrade the other features I mentioned but the touchscreen was kinda essential and therefore a deal-breaker!Thankfully Amazon are arranging a return & refund due the faulty touchscreen. Excellent service there.On the plus side, the photos I took while I had it were excellent as expected and the battery life was noticeably much better than previous iPhones I've used. The AMOLED screen was excellent.I can't comment on the accuracy of Face ID as I was wearing a mask most of the time and had to put my pin in whenever unlocking.If you're coming from an old iPhone you'll love it (if your coming from a nice Android you won't know the difference).",3.0 out of 5 stars,Reviewed in the United Kingdom on 26 October 2021,1
One the best by apple,This has been the best iPhone so far . The design and size fits the hand perfectly.,5.0 out of 5 stars,Reviewed in the United Kingdom on 1 October 2021,1
"Fantastic price plan, good fast phone- wish had touch id though sometimes doesn't recognise face","Arrived next day delivery, easy price plan by dd each month. Really pleased with purchase from this seller. The phone itself is fast, wish that Apple had stuck with touch ID though as if I wear makeup or have hair down it often won’t recognise me.Packaged sympathetically to reduce plastic, no charger just the charging usb cable. The box was also well packaged and product was undamaged, carefully delivered by person to person.",5.0 out of 5 stars,Reviewed in the United Kingdom on 30 October 2021,1
Worst I phone ever,The design reminds of I phone 4. The resolution is improved comparing to my iPhone 11 but feels more bulky in my palm than I phone 11. It arrived without a charger- ?!!!! Nearly 800 pounds for a new phone to buy additionally a charger - I don’t get it. And here comes the nightmare - the battery last a day if not less moderate use - absolutely disgraceful. I will definitely not recommend this product,1.0 out of 5 stars,Reviewed in the United Kingdom on 24 January 2022,1
Wow brilliant phone!,"Upgraded my Iphone SE 2020 for this. It's so powerful - great longer battery life and so much faster......By no means cheap, but it feels much more robust in the hand, has twice the storage capacity too at 128GB, and looks amazing. I'm not too fussed about the apparently great camera but I guess that will be nice too! HIGHLY RECOMMENDED.",5.0 out of 5 stars,Reviewed in the United Kingdom on 1 December 2021,1
Good value. So many new features.,Delighted with all the new features. Easy to use and has good battery life.,5.0 out of 5 stars,Reviewed in the United Kingdom on 3 April 2022,9
"bought for my son , he loves it","very fast with great screen , so he tells me He is delighted with this phone",5.0 out of 5 stars,Reviewed in the United Kingdom on 31 March 2022,9
The iPhone 13 has the same wide camera lens as the iPhone 12 Pro Max,"The iPhone 13 has the same design as last year’s iPhone 12 model, but it's internally where the differences can be found. One of the key internal changes being an improved camera where Apple have taken last year’s much praised iPhone 12 Pro Max wide camera lens and put it into the iPhone 13... and the images are fantastic!Another key improvement is Apples new A15 bionic chip with a 6 core CPU, 4 core GPU and 4Gb of RAM (in the iPhone 13). Currently, the A15 Bionic chip is the fastest smartphone chip in the world meaning it can handle the most demanding apps/processes and still has room to spare.It also means Apple will continue to support the iPhone 13 with software (iOS) updates for 5 to 6 years, longer than any other smartphone manufacturer. so if you are looking for a future proof, then that's what you will be doing by buying this.The battery is also very good. I'm not a heavy phone user but I've become accustomed to ensuring I have a charger close by 'in case' I need it, whereas with the iPhone 13 I'm comfortably getting through the day without needing to charge it... and on a several occasions into the next day too.The main differences between the iPhone 13 and iPhone Pro, or Pro Max, are:- Graphics: The iPhone 13 has a 4 core GPU where the Pro has a 5 core GPU- Display: The iPhone 13 has a 60Hz refresh display where the Pro has ProMotion, an adaptive display which ranges from 10 to 120Hz depending on what you are looking at or doing- Battery: The iPhone 13 has an estimated 15 hours of continuous streaming and the Pro as 20 hours- Camera: The iPhone 13 has a Wide Camera lens and an Ultra-Wide camera lens, where the Pro has a Wide, Ultra-Wide and a Telephoto camera lens.The Pro models also have macro photography thanks to a new Ultra-Wide camera lens which take stunning images.Overall, the iPhone 13 is a fantastic phone and ideal for anyone wanting to:a) Upgrade from a phone older than the iPhone 11b) Looking for the most future proof smart phone they can getc) Are not fussed by telephoto or macro photographyLastly, I’ve attached 5 photo examples of Photographic Styles, new feature to the iPhone 13 range.",5.0 out of 5 stars,Reviewed in the United Kingdom on 18 November 2021,9
Good,Good,5.0 out of 5 stars,Reviewed in the United Kingdom on 18 November 2021,9
My first iphone,Would prefer iphone 13 pro,4.0 out of 5 stars,Reviewed in the United Kingdom on 17 March 2022,9
Bang on,I’ve been um’ing and ar’ing about getting this.<U+0001F4AF> # battery can’t be any happier,5.0 out of 5 stars,Reviewed in the United Kingdom on 3 April 2022,9
Amazing phone!!,This review is for the Apple iPhone 13 (128GB) - Starlight.Another amazing phone from Apple. Lovely designed and works great. I upgraded from a iPhone 7+ and there is a world of difference in speed and features! Fantastic and worth every penny. Should keep me going for another 5 years!Update after using for a week: still love it! iOS 15 is great love the additions to the weather app and how you listen to your voicemails. <U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>2 weeks update.. still going well! So much better than my iPhone 7+,5.0 out of 5 stars,Reviewed in the United Kingdom on 26 September 2021,9
Become hot..apply for refund but no response from amazon..very upset,Become hot..apply for refund but no response from amazon..very upset,1.0 out of 5 stars,Reviewed in the United Kingdom on 6 April 2022,9
Brilliant phone,"This is my first iPhone after years of Android use. iOS is quite different, but it works fine, once you wrap your head around it. The phone itself is excellent. Beautiful to look at and listen to, incidentally. Great camera, fairly lightweight and it feels well made. It definitely lives up to the hype. Clever too that if it’s close to my iPad or MacBook, I can make or receive calls on any of them. A few foibles. You can’t just start typing a name on the phone keypad to bring up a number, Android style, and it took me a while to realise you need to press and hold to move the cursor when you’re editing text like this review. But it’s minor stuff. If you can stomach the price (which was considerably discounted here - thanks, Amazon), then you won’t be disappointed.",5.0 out of 5 stars,Reviewed in the United Kingdom on 6 April 2022,9
An upgrade,Went from a 11 to 13 battery life is sooo much better,5.0 out of 5 stars,Reviewed in the United Kingdom on 30 March 2022,9
I PHONE 13,"Beautiful phone work very well, it is a present for my husband.",5.0 out of 5 stars,Reviewed in the United Kingdom on 19 December 2021,4
Terrible call quality,Overall this would be a good phone if it wasn’t for the fact that the call quality is terrible.If I could return this I would. I would not recommend you buy it.,1.0 out of 5 stars,Reviewed in the United Kingdom on 5 February 2022,4
What can I say!,Purchased for my father for Xmas. He could not believe he'd got a new iPhone after having an iPhone 6 forever. It's classy and I'm told very easy to transfer data and contact details across from an old phone. One happy dad!,5.0 out of 5 stars,Reviewed in the United Kingdom on 7 January 2022,4
"Christmas present ruined!!! Thanks apple, specific plug to charge this iphone pure greed from apple",Be warned you’ll need to purchase a specific plug to charge this phone all because they won’t put a usb on one end of the charge cable ridiculous after such a high cost for phone already “greedy apple corporation” at it again if replacing my own phone ill be checking out competitors for value,3.0 out of 5 stars,Reviewed in the United Kingdom on 29 December 2021,4
Item as described by the seller. Fast speed. Not bad for money,"Item as described by the seller. Fast speed. Not bad for money, but I will choose a better one in the future.",5.0 out of 5 stars,Reviewed in the United Kingdom on 10 February 2022,4
Competitively priced,"Nice phone, the pink is very subtle. Used the no interest payment plan which was really great and hard to find unlocked monthly plans for this phone elsewhere.",4.0 out of 5 stars,Reviewed in the United Kingdom on 9 January 2022,4
Amazed!!,The phone arrived in greece really quick!Also I'm a first time iphone user and I must say I'm amazed by it!!,5.0 out of 5 stars,Reviewed in the United Kingdom on 9 October 2021,4
Expensive but does the job.,"It's an iPhone and it's very good but Apple continue to charge a huge premium for more storage,",5.0 out of 5 stars,Reviewed in the United Kingdom on 5 January 2022,4
What’s to say It’s and iPhone,"This is my 5th iPhone (13) and to be honest I wouldn’t buy anything else, yes a little expensive but the IOS system is so intuitive and links seamlessly with all my other Apple devices. Still the best Mobile Phone around.",5.0 out of 5 stars,Reviewed in the United Kingdom on 7 February 2022,4
EyeFone,Better than my iPhone X that would die after 29 mins lol,5.0 out of 5 stars,Reviewed in the United Kingdom on 15 December 2021,4
Decent iPhone,Decent iPhone with good camera (excellent night time photos)Good battery life and charging time.Only criticism is you need to buy a plug for charging - penny pinching by apple considering the cost price hence the deduction of 1 star in overall rating.I purchased the Anker Nano USB C Plug for charging which works well.,4.0 out of 5 stars,Reviewed in the United Kingdom on 5 December 2021,2
It’s an iPhone,"As an Android user who didn’t have an iPhone since iPhone 4, I wanted to give it another go and the iOs is definitely a lot better now. Love the battery life on my iPhone 13. You can go a full day of heavy heavy use easily. One thing I don’t understand is that still to this date you cannot send pictures through bluetooth to another phone that is on Android… you will need to either send through Whatsapp (where you lose quality of the photo) or you will have to use and pay for a service such as Amazon Photos or google photos etc. Other than that it’s a really good phone but I hate those silly limitations such as the one above from Apple.",4.0 out of 5 stars,Reviewed in the United Kingdom on 18 December 2021,2
Fantastic battery life better than any other iphone,After my iphone x developed a fault so intermittent it could not be found to be fixed I waited to the release of the iphone 13 as it was only a month away I checked the prices of the iphone 12 and for just £50 extra the obvious winner was the 13 with the new battery capacity I can report battery life is huge and quite often I only use 25%of battery each day and that includes using GPS I honestly now never run low on battery none of that topping up during the day stuff After owning a 4s 5 6s and X this upgrade is the best,5.0 out of 5 stars,Reviewed in the United Kingdom on 26 January 2022,2
Great product & great delivery process,"Sheeple or advocate, I can’t help it, I like apple products. This is no different, an upgrade for my partners phone, an improved camera, almost a revision back to its earlier design, it’s a nice piece of kit.First time I’ve bought a handset from Amazon, having had a high value item go “AWOL” previously I was impressed by the pin delivery where you have to provide the driver with a code to allow them to handover.",5.0 out of 5 stars,Reviewed in the United Kingdom on 10 January 2022,2
Sound issues,"Am I the only one having sound issues? As I’ve not seen other reviews about this. I usually have to put this on loudspeaker and even after I do, most people complain that they can’t hear me or that the sound is cutting out. Outside Amazon reviews, on Google there were some comments about this, so I’m entirely confused if this is particular to my device or others as well. Anyways I have to return it as there is absolutely no significant difference with the 13 from the 12, or 11 as well.",3.0 out of 5 stars,Reviewed in the United Kingdom on 23 January 2022,2
Nothing in the box,"I would have liked to review the iPhone 13 but due to theft/fraud, there wasn’t one in the pare I received. This is a perfectly reasonable review, pointing out that not everything on Amazon is as expected, and the customer service to get my money back s utterly disgraceful.",1.0 out of 5 stars,Reviewed in the United Kingdom on 19 February 2022,2
Slick,"Only purchased after my Xs max was stolen, wanted to wait till iPhone 14 but having said that this version is a definite improvement over my previous model super slick better screen although slightly smaller (not being a max) battery lasts a couple of days between charges, I would say I’m a light to medium user I don’t use Facebook or the likes just a few what’s app messages Apple Music safari surfing & checking my share prices & call the wife on the way home.Have always used apple products for ease of use I have no problem being locked into their ecosystem & have no intention of moving to android.Would definitely recommend this model, just make sure you get a good case to protect it the screen repair prices are painful.",5.0 out of 5 stars,Reviewed in the United Kingdom on 18 March 2022,2
Nice red phone,"Battery life is great <U+0001F44D>, it’s a nice red never had a red phone before, so easy to use and set up, I didn’t get the phone because of the camera I have a camera to take pictures but it’s good to have when you go out, but can’t do too much of that with COVID and the new variant, and it’s 5G I have 5G so thought I would get it, and it’s much lighter than my iPhone 11 so comfortable in my hand, very happy with my new phone",5.0 out of 5 stars,Reviewed in the United Kingdom on 22 December 2021,2
Superb I phone 13,Surprise gift for my wife. She really like the pink colour. I phone 13 is just amazing with awesome picture quality along with great looks. <U+0001F44D>,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 October 2021,2
"That phone, I love it","Excellent piece of kit, great colour, excellent photos. My first Apple phone. I can now understand why people have over them.",5.0 out of 5 stars,Reviewed in the United Kingdom on 12 October 2021,2
Superb,Great product,5.0 out of 5 stars,Reviewed in the United Kingdom on 20 January 2022,7
good,looks great and ez to use,5.0 out of 5 stars,Reviewed in the United Kingdom on 11 March 2022,7
Nice one,I love this phone! Its perfect!,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 December 2021,7
Magnifique!,Personal,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 November 2021,7
rubbish,rubbish,1.0 out of 5 stars,Reviewed in the United Kingdom on 10 March 2022,7
iPhone 13,A+++,5.0 out of 5 stars,Reviewed in the United Kingdom on 23 February 2022,7
very useful,Really like it!,5.0 out of 5 stars,Reviewed in the United Kingdom on 12 January 2022,7
5G battery <U+0001F50B>,"Recently i upgrade to iPhone 13 pro. I have been using this from 5 days. Battery is something I’m not really convinced with it. This is the first time I had this experience I bought a new product and the batter is not really up to the make. May be it’s because of the 5G. But it is bit disappointing, we can’t live in fear we have turn in dark mode, make changes in location, look for videos on YouTube how save battery. Camera quality, built quickly software easy to use iOS15. That’s my honest review about iPhone 13pro 256gb",4.0 out of 5 stars,Reviewed in the United Kingdom on 28 September 2021,7
