"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Apple &amp; the Caribbean cities and Caribbean vicinities and Belize &amp; Peru 🇵🇪 &amp; Guatemala City Guatemala 🇬🇹 and the c… https://t.co/G07y1bEjDl",FALSE,0,"Apple",2022-03-28 23:58:46,TRUE,NA,"1508594478172438529","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eden_Kenyon4",0,FALSE,FALSE,NA,NA
"2","@skinny_dawg @Apple @AppleMusic Why you trying to play a game when your driving https://t.co/fuctc3HbcM",FALSE,0,"skinny_dawg",2022-03-28 23:57:44,FALSE,"1508592382127718400","1508594219551760384","1433703709905547267","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AuntieB0w",0,FALSE,FALSE,NA,NA
"3","@amazon is there anyway to make the Amazon card able to add to list? Really cool feature to #tip people. Same with… https://t.co/sanYacr15Q",FALSE,0,"amazon",2022-03-28 23:57:08,TRUE,NA,"1508594065759211523","20793816","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheVigilAngel",0,FALSE,FALSE,NA,NA
"4","@apple I need you to create a space for pronoun on contacts. Thanks in advance.",FALSE,0,"Apple",2022-03-28 23:55:52,FALSE,NA,"1508593747936051204","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hotmessjess__",0,FALSE,FALSE,NA,NA
"5","@Apple keyboards are complete shit change my mind",FALSE,0,"Apple",2022-03-28 23:54:49,FALSE,NA,"1508593482260262914","380749300","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","villaindeadshot",0,FALSE,FALSE,NA,NA
"6","@ChnceAVO @ComMandaOW @itsTyler_EN @Apple @UnRealChip hello son",FALSE,0,"ChnceAVO",2022-03-28 23:54:25,FALSE,"1508591052478844928","1508593381982810114","750068092131119105","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kal_ult",0,FALSE,FALSE,NA,NA
"7","@CCASHCitizen @CryptoinAus @Benzinga @YahooFinance @MarketWatch @Nasdaq @BCNewsWire @Apple @DowJones Everyone will… https://t.co/FsZ3ZkZEBp",FALSE,1,"CCASHCitizen",2022-03-28 23:53:32,TRUE,"1508477576754442247","1508593162205667328","1409864192207863815","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SHILLTHEGEMS",0,FALSE,FALSE,NA,NA
"8","@DanGG06 @adefai7 @WilliamFaix @Apple Who said anything about targeting older audiences…? Who are these mythical ‘g… https://t.co/mav4Igc0sE",FALSE,0,"DanGG06",2022-03-28 23:53:07,TRUE,"1508591949791600642","1508593057637281794","987397751523622917","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeviousPL",0,FALSE,FALSE,NA,NA
"9","@Apple In these cities to start : Santiago, Dominican Republic 🇩🇴 and their city vicinities &amp; Port-au-Prince Haiti… https://t.co/rhbD2de3NA",FALSE,0,"Apple",2022-03-28 23:52:10,TRUE,NA,"1508592816733126662","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eden_Kenyon4",0,FALSE,FALSE,NA,NA
"10","Shit was agg yo. Nigga ran away at the wrong time. We all cuda been @Apple presidents but y'all listened to what y'all wanted to do. ✌️🚬",FALSE,0,NA,2022-03-28 23:51:26,FALSE,NA,"1508592630497615874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dcomcustomized",0,FALSE,FALSE,NA,NA
"11","The only hands emoji I can’t change to black is 🤝 @Apple can you hook it up big dawg",FALSE,1,NA,2022-03-28 23:50:54,FALSE,NA,"1508592499807293440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sterlb3",0,FALSE,FALSE,NA,NA
"12","@AuntieB0w @Apple Maybe even put games &amp; utube on it too @AppleMusic",FALSE,0,"AuntieB0w",2022-03-28 23:50:26,FALSE,"1508585164422594565","1508592382127718400","1197277626114695169","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skinny_dawg",0,FALSE,FALSE,NA,NA
"13","@Apple The Apple pencil is the most useless $129 piece of cheap plastic ever made. It won’t even pull up the dock. Garbage.",FALSE,0,"Apple",2022-03-28 23:49:49,FALSE,"1502074298483105793","1508592225508339712","380749300","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Barking_Gallery",0,FALSE,FALSE,NA,NA
"14","@DeviousPL @adefai7 @WilliamFaix @Apple Mmmh I thought you guys said the reason was to target older audiences. So what it is?",FALSE,0,"DeviousPL",2022-03-28 23:48:43,FALSE,"1508571592158183426","1508591949791600642","491670463","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanGG06",0,FALSE,FALSE,NA,NA
"15","Even with the new enhanced performance that @NI_News users will love, and I mean LOVE, @Apple made it clear that th… https://t.co/n5JA7LLxjw",FALSE,0,"DJRX78",2022-03-28 23:48:33,TRUE,"1508591904161767435","1508591906355302400","551693237","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DJRX78",0,FALSE,FALSE,NA,NA
"16","For all the @NI_News/ Native Instrument users out there with Komplete, Maschine, etc... 

DON'T BUY ANY NEW @Apple… https://t.co/n2K9ZlEv69",FALSE,0,NA,2022-03-28 23:48:32,TRUE,NA,"1508591904161767435",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DJRX78",0,FALSE,FALSE,NA,NA
"17","@Apple idk if you guys ever tested dropping the iPhone into a bucket of caulk but some denatured alcohol and we’re still good 👍🏻🤣",FALSE,0,"Apple",2022-03-28 23:48:05,FALSE,NA,"1508591790156390400","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vohnny_jincent_",0,FALSE,FALSE,NA,NA
"18","My Twitter Crush is: @Apple

Find yours at https://t.co/mfO4qDwNzA

⠀ https://t.co/SHDDqIBHdG",FALSE,0,NA,2022-03-28 23:47:35,FALSE,NA,"1508591661512724481",NA,"<a href=""https://funallaruon82.fun"" rel=""nofollow"">Your Fun Around #A1C2</a>","ChnceAVO",0,FALSE,FALSE,NA,NA
"19","@5ireChain @pratikgauri @Apple @stevewoz @bookingcom @SpeakerJeff I need a working permit in China for 3years 
To turn my life around",FALSE,0,"5ireChain",2022-03-28 23:47:22,FALSE,"1508133896096911363","1508591609050550272","1422217297591083010","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KofiSlaying",0,FALSE,FALSE,NA,NA
"20","Apple needs to make a maroon phone @Apple",FALSE,1,NA,2022-03-28 23:47:02,FALSE,NA,"1508591523293712390",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kileycyrus666",0,FALSE,FALSE,NA,NA
"21","@Apple really needs to get #imessage on those @SlackHQ commands :grimacing:",FALSE,2,"Apple",2022-03-28 23:46:54,FALSE,NA,"1508591492226445312","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","em_ilyfarr",0,FALSE,FALSE,NA,NA
"22","@Apple starting January 1 1974 AD &amp; CE &amp; into the future with proper accounting expected…. https://t.co/dwaA8AEGFD",FALSE,0,"Apple",2022-03-28 23:46:46,FALSE,NA,"1508591459305353218","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eden_Kenyon4",0,FALSE,FALSE,NA,NA
"23","Thank you @apple i lost my airpod and used the “find my” app and found it at the grocery store!!!",FALSE,0,NA,2022-03-28 23:46:26,FALSE,NA,"1508591375591383051",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fbeezytho",0,FALSE,FALSE,NA,NA
"24","11 Surprising Things Some Women Don't #Travel Without: Are these on your #packing #list? #solotravel @Smartwool… https://t.co/sCOLmDR0Bd",FALSE,0,NA,2022-03-28 23:46:03,TRUE,NA,"1508591276475699202",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Journeywoman",0,FALSE,FALSE,NA,NA
"25","@Apple WHEN ARE YOU GOING TO ALLOW US TO TAG FACES ON PICTURES AND VIDEOS WHEN YOUR FUCKING ALGORITHM DOESN’T DETEC… https://t.co/ZgbJzbOeJT",FALSE,0,"Apple",2022-03-28 23:45:33,TRUE,NA,"1508591149941936133","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cletalabiciculo",0,FALSE,FALSE,NA,NA
"26","@Apple I’m good gold wealth funding for my good gold wealth portfolios the entire countries of Mexico 🇲🇽 &amp; Dominica… https://t.co/aOiTJvKDju",FALSE,0,"Apple",2022-03-28 23:45:22,TRUE,NA,"1508591103951351808","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eden_Kenyon4",0,FALSE,FALSE,NA,NA
"27","My Twitter Family:
Parents: @ComMandaOW @Kal_ult
Spouse: @itsTyler_EN
Children: @Apple @UnRealChip

via… https://t.co/0JvKXG5RmI",FALSE,1,NA,2022-03-28 23:45:09,TRUE,NA,"1508591052478844928",NA,"<a href=""https://funallaruon22.fun"" rel=""nofollow"">Fun Your Around #A864</a>","ChnceAVO",0,FALSE,FALSE,NA,NA
"28","@DukkTekk @Apple heck you @Apple",FALSE,0,"DukkTekk",2022-03-28 23:44:22,FALSE,"1508585047653330951","1508590855640264717","1302820433490829313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","simpsnott",0,FALSE,FALSE,NA,NA
"29","@Apple Apple sucks",FALSE,0,"Apple",2022-03-28 23:43:24,FALSE,"1502070374267195392","1508590610151784452","380749300","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","therealltakeen",0,FALSE,FALSE,NA,NA
"30","@ilee81 @Apple I've had it happen from dumb watches 20 years ago when I wore them too long.",FALSE,1,"ilee81",2022-03-28 23:41:28,FALSE,"1508379057196605441","1508590125940363266","1412737071396102147","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Cormaster",0,FALSE,FALSE,NA,NA
"31","@Soccer_Mama1627 @Apple Marty Moose https://t.co/BfoIZl15rZ",FALSE,0,"Soccer_Mama1627",2022-03-28 23:41:12,FALSE,"1508585151596576768","1508590055815892994","1312897319193501696","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrSyn",0,FALSE,FALSE,NA,NA
"32","Why doesn’t the reminder app come up here @Apple https://t.co/Sjpi6Z1X7k",FALSE,1,NA,2022-03-28 23:40:22,FALSE,NA,"1508589845844791297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","masonmac1",0,FALSE,FALSE,NA,NA
"33","Super excited that I acquired the Apple Learning Coach certification. I can definitely recommend the program for an… https://t.co/JvxPPjrRGR",FALSE,13,NA,2022-03-28 23:40:14,TRUE,NA,"1508589813917753354",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LcisdMatt",1,FALSE,FALSE,NA,NA
"34","@KleeKaiETH 💜's everybody. come join us and #P2E with #KleeRun. @play2earncrypto @PlayToEarn @playtoearn_  #Crypto… https://t.co/Gs2ftOYuL1",FALSE,11,"KleeKaiETH",2022-03-28 23:39:29,TRUE,NA,"1508589625899728900","1392211599688142851","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cloudkaiwiz",9,FALSE,FALSE,NA,NA
"35","Will Smith issues apology to Chris Rock over slapping incident at Oscars
https://t.co/DQofXw1ZoF @Apple good news",FALSE,0,NA,2022-03-28 23:38:56,FALSE,NA,"1508589485407100928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eden_Kenyon4",0,FALSE,FALSE,NA,NA
"36","@nunuuvo @Apple do you kiss your sister with that mouth?",FALSE,0,"nunuuvo",2022-03-28 23:38:38,FALSE,"1505410993442201600","1508589409943306242","990657840867135488","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baddestofbirch",0,FALSE,FALSE,NA,NA
"37","WHY IS MY PHONE DELETING ALL MY CONTACTS🙄 @Apple",FALSE,1,NA,2022-03-28 23:37:57,FALSE,NA,"1508589240157888519",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_sheesbeautiful",0,FALSE,FALSE,NA,NA
"38","Oh my goodness my @Apple headphones look tacky and tasteless in his ears bro sheeeeesh https://t.co/DWWyPJ8n3h",FALSE,0,NA,2022-03-28 23:37:51,FALSE,NA,"1508589215067516928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dcomcustomized",0,FALSE,FALSE,NA,NA
"39","@KleeKaiETH @GooglePlay @Apple https://t.co/l5YAzIuxVA check out!! https://t.co/TIID5LOp0T #stealth #ore #forge… https://t.co/G6hHD9dfLF",FALSE,0,"KleeKaiETH",2022-03-28 23:37:42,TRUE,"1508533346191687680","1508589176731668487","1392211599688142851","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vazquez10Hector",0,FALSE,FALSE,NA,NA
"40","@Ascii211 @NikosCali @Apple 1) for imaging: https://t.co/HBLmno0Eaa

2) for RE I have a WIP crowdsource project to be announced soon",FALSE,2,"Ascii211",2022-03-28 23:36:46,FALSE,"1508588582805680136","1508588939682017282","422011097","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","johndmcmaster",0,FALSE,FALSE,NA,NA
"41","@Apple i dig the newest update for the iphone. But a wish item would be to have the capability to click on the gps… https://t.co/4oeadwnM7g",FALSE,0,"Apple",2022-03-28 23:36:17,TRUE,NA,"1508588819519524868","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thebobaccount",0,FALSE,FALSE,NA,NA
"42","@Soccer_Mama1627 @Apple It’s a necessity for communication purposes!! #MooseEmoji",FALSE,1,"Soccer_Mama1627",2022-03-28 23:35:56,FALSE,"1508585151596576768","1508588732835901454","1312897319193501696","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MathieuRegan17",0,FALSE,FALSE,NA,NA
"43","@Apple please let us make texts unread after we already read them. I’m not even talking read receipts. Just the not… https://t.co/BqU8N1l6cQ",FALSE,0,"Apple",2022-03-28 23:35:44,TRUE,NA,"1508588682743271434","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KEliza1022",0,FALSE,FALSE,NA,NA
"44","@Apple gotta say that making it so any time I call a local number trying to speak with someone at a physical store… https://t.co/ozhJ7uljkf",FALSE,0,"Apple",2022-03-28 23:35:24,TRUE,NA,"1508588599033622529","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AWildLangatang",0,FALSE,FALSE,NA,NA
"45","@AppleSupport @apple my phone 11 got extremely hot where it almost burned me. This is the third time that this has… https://t.co/CQTuWgJMOt",FALSE,0,"AppleSupport",2022-03-28 23:35:21,TRUE,NA,"1508588583610773507","3309375033","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulie702",0,FALSE,FALSE,NA,NA
"46","@NikosCali @Apple Might reach out to @johndmcmaster for Die imaging and RE?",FALSE,1,"NikosCali",2022-03-28 23:35:21,FALSE,"1508585196236460035","1508588582805680136","94374562","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ascii211",0,FALSE,FALSE,NA,NA
"47","@briansantacruz Eeyupp...

Imagine if @Apple were to brick #MacBook|s or @JohnDeere were to brick their vehicles ju… https://t.co/JYm7srKaAI",FALSE,1,"briansantacruz",2022-03-28 23:34:58,TRUE,"1508585709480800258","1508588488714854400","18989242","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","k3vk4",0,FALSE,FALSE,NA,NA
"48","@caseyliss Shame! Late 2014 &amp; Mid 2015 iMacs don’t run Mac OS Monterey &amp;     are now end-of-life. Seems contra to… https://t.co/vM3ER2k2VK",FALSE,0,"caseyliss",2022-03-28 23:33:20,TRUE,"1508518017008906241","1508588076494434305","18119839","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","DrMattDavis",0,FALSE,FALSE,NA,NA
"49","@gamingw_o @CHRISTO76981380 @Apple They have different refresh rates, different resolutions, and different brightne… https://t.co/PStRfCt7kH",FALSE,0,"gamingw_o",2022-03-28 23:32:36,TRUE,"1508583157460779011","1508587894197338115","734880183543574528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Volts_PC",0,FALSE,FALSE,NA,NA
"50","Apple making the dark menu bar mandatory on the “macOS Monterey” update is not cute. I want my light menu bar. Chan… https://t.co/uDL0FRVBEQ",FALSE,0,NA,2022-03-28 23:32:33,TRUE,NA,"1508587880607850500",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ethannxiong",0,FALSE,FALSE,NA,NA
"51","@ilee81 @Apple Do you ever clean the under carriage of the watch?",FALSE,1,"ilee81",2022-03-28 23:30:46,FALSE,"1508379057196605441","1508587430034780172","1412737071396102147","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","appletechfacts",0,FALSE,FALSE,NA,NA
"52","@nitebayonetta @Apple @AppleSupport @JoeBiden i cant fix it if there is no issue however i can factory reset it and update the firmware.",FALSE,0,"nitebayonetta",2022-03-28 23:30:00,FALSE,"1508551876933033994","1508587238325579776","1199712937864241152","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SujanDh31336114",0,FALSE,FALSE,NA,NA
