review_title,review_text,review_star,review_date,page
Ultra phone at ultra price! Worth it though <U+0001F44C><U+0001F3FB>,"I have been using the phone since 10+ days now, and it's been a fantastic experience. This is my first S series phone, that also comes with S-Pen so first Note series as well <U+0001F600>.Performance:It's buttery smooth as expected from a flagship phone. RAM is pretty much occupied by system but I didn't found any issue while day to day use, and ain't a heavy user as well so can't comment about gaming performance.Battery: it doesn't feel like 5000 mah. Need to charge every morning, sometimes before sleeping at night. Hope Samsung fix it by software update.Camera:Tuning of camera is done very accurately by Samsung. Color levels, exposure, HDR..everything feels perfect. Zoom is extraordinary and perfectly usable till 30x-50x. Still haven't got opportunity for testing the camera in different environments, will update later for that.Accessories:I have applied Spigen screen protector on screen so fingerprint reader is working same as on naked screen, and S-Pen is also working fine I would say (Not smooth as on glass, but perfectly usable).Spigen Liquid Air cover is just perfect to hold the S22 ultra, as it provides extra grip on the sides.Even though it's costlier, I would recommend to buy who has budget for this ULTRA flagship. You will just love it!! <U+0001F60D>",4.0 out of 5 stars,Reviewed in India on 6 April 2022,9
Best Phone of 2022!!,"Even though its just March, confident to say it will remain the best phone of this year.Things that stand out -1. Screen and Brightness2. S-pen3. Battery life4. CamerasAll the above four factors make this phone a better option than iphone 13 pro.",5.0 out of 5 stars,Reviewed in India on 28 March 2022,9
An excellent flagship android phone,"I purchased this model offline samsung store Hyderabad tolichowki. Nobody goes unnoticed seeing this device. Battery could have been better. Other than that display, performace, camera and especially the s pen features will blow you away. A true flagship",5.0 out of 5 stars,Reviewed in India on 30 March 2022,9
Beast,The media could not be loaded.,5.0 out of 5 stars,Reviewed in India on 20 March 2022,9
S22 Ultra is just amazing.,This phone will keep on entertaining you with it's power packed features.,5.0 out of 5 stars,Reviewed in India on 2 April 2022,9
Surprisingly horrendous camera!,Horrible camera that produces washed out pics. The pic with the more vibrant colours and brightness was clicked with an iPhone 11 and the one with pale colours and sad looking pic is from tthe S22 ultra....what a waste of money!,2.0 out of 5 stars,Reviewed in India on 28 March 2022,9
Overheating Monster,Oberheating phone with monstrous features,2.0 out of 5 stars,Reviewed in India on 31 March 2022,9
Heating issue and battery drains very fast,"I have purchased this around 9th march and got it on 12th march, from the first day itself I am facing heating issue, first I thought because of data transfer it's getting hot.. after using for 2 week and facing the same issue again and again, by again and again means even I am using just fb or instagram, temperature goes to 38-40° Celsius normally. It's too hot to receive a call and put it on ear, I am using with speaker!! Really disappointed!! I will recommend you not to buy this bulshit!! Better go for apple!!",1.0 out of 5 stars,Reviewed in India on 26 March 2022,9
OK fine,I liked it,4.0 out of 5 stars,Reviewed in India on 28 March 2022,9
Expensive but niche.,"It is everything we loved in a note, with the better camera system of the Galaxy series. Therefore is a great merger. I do not like the vibration motor, which is very soft and the camera shutter lag.",4.0 out of 5 stars,Reviewed in India on 30 March 2022,9
"Best in class camera, great note experience. Amazing display.",Exceptional camera experience...,5.0 out of 5 stars,Reviewed in India on 28 March 2022,5
NO ADAPTOR/NO EARPHONES/NO WATCH OFFER,It was surprising that even after paying 119000/- there is nothing inside the box other than a handset and a C to C wire which makes no sense.There is NO CHARGING ADAPTORThere is NO EAR PHONESI did not get Watch 4 offerI did not get Rs.3000/- coupon which samsung provides in offline stores.I guess Amazon is not fit for purchasing such High Value Gadgetries!!,1.0 out of 5 stars,Reviewed in India on 20 March 2022,5
Heavy heating while online meetings -Webex,Excellent phone if it doesn't gets hot so fast,3.0 out of 5 stars,Reviewed in India on 6 April 2022,5
Okayish phone but WAY over priced!!,"Very poor battery life if you're a heavy user, i have to lower the screen resolution to 1080 for somewhat okish battery life.Also charging speed is crap, i mean we're living in 2022 where brands are providing 80W+ chargers ( that too in the box)Camera, build quality, performance, etc are great.S pen integration is decentAlso keep in mind if you'd be putting a tempered glass then fingerprint sensor WON'T WORK!",3.0 out of 5 stars,Reviewed in India on 23 March 2022,5
Average product,No special of this but price too high late delivery,1.0 out of 5 stars,Reviewed in India on 30 March 2022,5
Awesome phone,"S22 Ultra, it lives up to the hype with a package that, even though it feels familiar on so many levels, is still miles ahead of competition when it comes to giving you the most premium value.",4.0 out of 5 stars,Reviewed in India on 6 April 2022,5
Premium Product,"I have switched to samsung for the very first time. It is one of the most valuable product I have invested till date. The camera, screen resolution, the exterior design is way too good.",5.0 out of 5 stars,Reviewed in India on 28 March 2022,5
No need for review,Simple powerful and cameraaaaaaa,5.0 out of 5 stars,Reviewed in India on 6 April 2022,5
Pure beauty & the beast. loving it...,Pure beauty & the beast. loving it...,5.0 out of 5 stars,Reviewed in India on 28 March 2022,5
Beast,"Its a fastest smartphone on galaxy so far, everything is perfectly designed by samsung. Truly value for money product. Removed 1 star as they also started following Apple by removing charger from box and you have to separately buy it from market where most of the users are being fooled by shopkeepers by selling wrong travel adapter on high price.",4.0 out of 5 stars,Reviewed in India on 30 March 2022,5
Definitely not what has been advertised,"The battery life is terrible. The camera has got good macro and decent zoom. Nothing extraordinary. I'm actually quite disappointed, I bought the phone after the paid YouTube reviews. My 13k phone takes pictures with similar quality. The AI is nice and that's it.",1.0 out of 5 stars,Reviewed in India on 18 March 2022,2
Awesome phone,Amazing features. The phone feels hot all the time and it is reacting quickly to the room temperature. Camera works nicely. I like the 100x cam. There is a moon photo in attachment. The bluetooth is nice; there is less delay and the buds work nicely.,4.0 out of 5 stars,Reviewed in India on 17 March 2022,2
Flagship of the year,After one Day of usage I m in love with this beast great camera great display overall full package,5.0 out of 5 stars,Reviewed in India on 14 March 2022,2
BURGUNDY,"Amazon has this color listed as ""Dark Red"" and that is something needs to be fixed, it is NOT ""Dark Red"", it's official name is Burgundy.",1.0 out of 5 stars,Reviewed in India on 12 March 2022,2
