"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@dariusve @MrPhoneTech @getpeid There are the last few Samsung flagships to support those Lol
Now only their lower… https://t.co/ivyRUKQ53a",FALSE,0,"dariusve",2022-03-28 12:07:03,TRUE,"1508411969438732292","1508415367227801603","80860595","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vedanshchn",0,FALSE,FALSE,NA,NA
"2","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:59,FALSE,NA,"1508415352815984641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pawi0409",1561,TRUE,FALSE,NA,NA
"3","RT @samsungID: Live your life as #AwesomeGeneration to the fullest with a 5000mAh battery that lasts for two days! ⚡️

From morning routine…",FALSE,0,NA,2022-03-28 12:06:52,FALSE,NA,"1508415323707703301",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MustanirahAl",48,TRUE,FALSE,NA,NA
"4","@lyricfrwdw Lol i dont have an iphone either i have a Samsung galaxy",FALSE,1,"lyricfrwdw",2022-03-28 12:06:49,FALSE,"1508260176012341250","1508415309988122625","1428627046385606657","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TahanAyah",0,FALSE,FALSE,NA,NA
"5","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:47,FALSE,NA,"1508415301439918081",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arxfxuvkluuivl",1561,TRUE,FALSE,NA,NA
"6","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:40,FALSE,NA,"1508415270234251271",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cvnsspitnwsxfr",1561,TRUE,FALSE,NA,NA
"7","RT @ughbelinda: Taray ng pa Samsung endorsement! So proud of you guys @donnypangilinan @bellemariano02 

DONBELLE ReactS1ntoHer

#DonBelle…",FALSE,0,NA,2022-03-28 12:06:38,FALSE,NA,"1508415261589704710",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bubsDONBELLE",16,TRUE,FALSE,NA,NA
"8","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:36,FALSE,NA,"1508415256351100939",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","9746_98776",1561,TRUE,FALSE,NA,NA
"9","RT @SamsungNewsIN: Behold the magic of #Madhubani paintings from Bihar in your living room on #TheFrame, TV when it's on, art when it's off…",FALSE,0,NA,2022-03-28 12:06:34,FALSE,NA,"1508415248058839045",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Music_got_me",926,TRUE,FALSE,NA,NA
"10","Samsung annuncia Smart Monitor M8
https://t.co/PV0cOFd4wq",FALSE,0,NA,2022-03-28 12:06:34,FALSE,NA,"1508415246347743236",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Plaffo",0,FALSE,FALSE,NA,NA
"11","√ Samsung has some great offers on the Galaxy Z Fold 3, just for today - XDA Developers #ITRTG #tech ➾… https://t.co/FAUUKQKja2",FALSE,0,NA,2022-03-28 12:06:33,TRUE,NA,"1508415242832805888",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","manatweets",0,FALSE,FALSE,NA,NA
"12","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:32,FALSE,NA,"1508415239670448132",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tyiwhxlexdyspn",1561,TRUE,FALSE,NA,NA
"13","I just slipped and fell right now. 
My Samsung phone is in my back pocket. 
God, I heard ""kraaa"" please let it be my leg.
🙏😭",FALSE,0,NA,2022-03-28 12:06:32,FALSE,NA,"1508415238412111876",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaekyir",0,FALSE,FALSE,NA,NA
"14","RT @samsungID: How to make aesthetic photo with Galaxy A52s 5G?
Here’s the tutorial for you!
#GalaxyA52s5G with 5MP Depth Camera, snap any…",FALSE,0,NA,2022-03-28 12:06:28,FALSE,NA,"1508415220565569540",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iforeseeu",3,TRUE,FALSE,NA,NA
"15","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:21,FALSE,NA,"1508415193973506061",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vnbarabvvuzthu",1561,TRUE,FALSE,NA,NA
"16","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:20,FALSE,NA,"1508415189829525510",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gtzkmlmclywtyv",1561,TRUE,FALSE,NA,NA
"17","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:20,FALSE,NA,"1508415189347180544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","midnightatomica",1561,TRUE,FALSE,NA,NA
"18","RT @YourzTechy: @sondesix That Sony Xperia Branding... 
I think all other smartphones manufacturers should implement this now (Basically Sa…",FALSE,0,NA,2022-03-28 12:06:17,FALSE,NA,"1508415173882572804",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","duraifi",1,TRUE,FALSE,NA,NA
"19","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:05,FALSE,NA,"1508415124167659523",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wqvvjxvqrappfw",1561,TRUE,FALSE,NA,NA
"20","RT @vanessaahlstrom: To celebrate the joining of a new CSGO brother to the GODSENT squad, me, together with Samsung Odyssey, are giving awa…",FALSE,0,NA,2022-03-28 12:06:03,FALSE,NA,"1508415118455058432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vpnwpihvipcqmj",1561,TRUE,FALSE,NA,NA
