review_title,review_text,review_star,review_date,page
The best phone out there,"Best phone out there. Excellent display, battery that lasts a day for medium to heavy users, good haptics, latest software with wonderful camera. I can’t find any cons with the mobile.",5.0 out of 5 stars,Reviewed in India on 5 April 2022,37
Showoff product,I bought this phone Bcoz I have lot of money to showoff.,1.0 out of 5 stars,Reviewed in India on 31 March 2022,37
Buy only if you like Apple EcoSystem and you have a Price Constraint,"tl;dr:If you can spend more money and want a better camera go with Pro or ProMaxIf you like the Apple EcoSystem you can get this else stick to AndroidPros :1. Good Display / Brightness (Supports Dark mode and You can control White Tone which is nice). It has 60Hz refresh rate but you won't feel the difference imho2. Good Battery Life (iPhone 13 Series has good battery life but ensure you have a supported charger) I use my MacBook's charger which charges the phone pretty quickly.3. Best Privacy Control4. Camera in Portrait Mode and Selfie Camera (LiveText Detection is a nice feature)5. Fast Processor / RAM management is good6. Great Resale value / Apple SupportCons:1. Screen size (6.1"" which is less in this price segment)2. Optical Zoom in 13 is not great (If you want a camera phone go with Pro or Pro Max or Android alternative)3. Third Party App Size is Huge (Gmail is 300MB / YouTube 250 MB). No native app lock option4. Very Less OS customizations / No Fingerprint Scanner (hopeful this gets better with iOS 16)5. No Native Support for mkv and other video formats (you can download a third party though)6. Native iOS Apps either require a subscription or are paid.7. File Management is restricted / Not easy to download *multiple* files from Telegram / Drive",3.0 out of 5 stars,Reviewed in India on 20 March 2022,37
Wow what amazing experience with my first iphone.,Excited. first IPhone experience is great. While charging device is heats up quickly may be optimization issue. Overall happy with Iphone 13 blue colour.,5.0 out of 5 stars,Reviewed in India on 29 March 2022,37
Premium class and a different league altogether,"Writing this review after a week usage.I went for the iPhone 13 Green Variant which got recently released. I must confess that this Phone is totally worth every penny. Quality & Smooth interface, Impressive Battery life with moderate/heavy use, Bright Bezel HD Display, fanstastic speakers with Clear sound quality, and The Apple OS make this Phone a real asset to possess. I am quite happy and satisfied with my iPhone 13.",5.0 out of 5 stars,Reviewed in India on 3 April 2022,37
Good one,Perfect,5.0 out of 5 stars,Reviewed in India on 6 April 2022,37
Best Phone ever <U+0001F60D>,"The media could not be loaded. FaceID To good , Cameras <U+0001F4F8> Awosome, Battery Life Very Good ..",5.0 out of 5 stars,Reviewed in India on 31 March 2022,37
Its an ios very smooth especially dolby speaker are awesome,Previous mobile was one pluse 5 switched to i phone 13 and i am just fall in love with ios.Watch Lot of youtube videos about ios vs android and take decision to go for ios. Its super cool,5.0 out of 5 stars,Reviewed in India on 29 March 2022,37
AVOID AMAZON FOR APPLE PRODUCTS!,"Strongly recommend DO NOT BUY any apple products either airpods, ipads, mac, iphone or even apple pencil or charger from Amazon! Because even after the ""7 days replacement"" note on the seller or the product page, Amazon not gonna provide you a straight simple easy-going replacement at your door step.No matter what ever product you've received, duplicate or broken or even a empty box....They gonna straight send you to the service centre & after that service centre will guide you further! Amazon call it ""apple products policy"" they never mention! & You have to visit the service centre & collect documentation & whatever needed in between the replacement policy days!Remember service centre always tries to repair the product.& Even after that you not gonna have a straight easy refund!!When you finally have to visit the service centre for a return policy even if you get a duplicate or defective product, which not gonna happen from your home, then why to buy it from online & not from a retail store!?",1.0 out of 5 stars,Reviewed in India on 8 April 2022,37
Battery,Battery life is very poor,3.0 out of 5 stars,Reviewed in India on 31 March 2022,37
Good phone,Good phone,3.0 out of 5 stars,Reviewed in India on 24 February 2022,19
You will never disappointed,Overall good buy,5.0 out of 5 stars,Reviewed in India on 25 February 2022,19
Nice,Supar,3.0 out of 5 stars,Reviewed in India on 20 February 2022,19
Ok .,Ok,5.0 out of 5 stars,Reviewed in India on 27 February 2022,19
It’s worth it,Worth every penny,5.0 out of 5 stars,Reviewed in India on 9 March 2022,19
It's just a phone,An expensive one.,5.0 out of 5 stars,Reviewed in India on 12 March 2022,19
Awesome product,Awesome product,5.0 out of 5 stars,Reviewed in India on 6 January 2022,19
Good phone,Let’s see how it work,5.0 out of 5 stars,Reviewed in India on 11 February 2022,19
Nice,The media could not be loaded.,5.0 out of 5 stars,Reviewed in India on 13 November 2021,19
Hm dlvrd late (11days)but m hppy for mah new iphone,"Amazing phone<U+0001F929>battery ,everything",5.0 out of 5 stars,Reviewed in India on 10 November 2021,19
Highly recommended.,I always wanted to buy an iPhone this one is just made for me it's has a very good camera and I just love the look.If you are going for iphone than I highly recommend this phone to you other than other than 12 or 11.,5.0 out of 5 stars,Reviewed in India on 9 February 2022,33
OnePlus 6T to iPhone 13,"I switched from OnePlus 6T to iPhone 13. Just a fabulous mobile. Amazing camera just like a DSLR in pocket. I purchased my iPhone 13 from iPrime store because of same price online & offline. Bought it at <U+20B9> 81,800.00 (iPhone+ 20w adapter).",5.0 out of 5 stars,Reviewed in India on 30 November 2021,33
Buy 4 this phone in 1lac my all family members are happy,"I have no money to buy this ph , i am poor guy, kind hearted person can gift a i phone any model no problem . May god bless you <U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F>",5.0 out of 5 stars,Reviewed in India on 16 February 2022,33
Good,Not buy due to money problems.aspo jui fds bgf and tell i am senior citizen 65 years old will be there,1.0 out of 5 stars,Reviewed in India on 24 February 2022,33
Good for upgrade over iPhone 11,This is the best iPhone till date. Same price. Superb battery and awesome camera. If you're using a iphone 12 dont go for this. If iPhone 10/ 11 blindly purchase it,5.0 out of 5 stars,Reviewed in India on 26 September 2021,33
Iphone 13 256,Iphone 13 256 gb variant purchased from reliance digital really value for money phone especially battery back up is mind blowing overall good phone.,5.0 out of 5 stars,Reviewed in India on 26 January 2022,33
Best ever ios device i used,"Its a great deal for me to purchase this one , its a great camara well focused , best ever battery backup.....",5.0 out of 5 stars,Reviewed in India on 26 February 2022,33
Best mobile,I recently got my iPhone 13 128 gb got amazed with the camera and other things……worth for ur money loved this product,5.0 out of 5 stars,Reviewed in India on 23 January 2022,33
Bahut aachi ha bhai log la lo,,5.0 out of 5 stars,Reviewed in India on 12 February 2022,33
Nice product,The media could not be loaded. Good experiance,5.0 out of 5 stars,Reviewed in India on 26 March 2022,33
Isse jordr kuch nhi <U+2764><U+FE0F>,Sb jordar hai <U+2764><U+FE0F>,5.0 out of 5 stars,Reviewed in India on 13 February 2022,14
Excellent Buy<U+0001F973><U+0001F973>,Just love the colour and performance as we all know ;) Every thing is just top notch<U+0001F929><U+0001F929>.,5.0 out of 5 stars,Reviewed in India on 3 March 2022,14
